HSE Actions Item Tracker,,,,,,,,,,,,,
Sr. #,Date,Month,Auditor Name,Action Drived From,Audit Description,Area/Clauses,Actions / Recommendation,Severity,Responsible Department,Responsible Manager,Target date,Action Item Status,
833,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 6 Packing,"- 484 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",High,ESD,Adeel Siddiqui  ,20-Feb-26,Done,
834,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 7 Packing,"- 338 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",High,ESD,Adeel Siddiqui  ,21-Feb-26,Done,
835,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 8 Packing,"- 441 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",High,ESD,Adeel Siddiqui  ,22-Feb-26,Done,
836,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 9 Packing,"- 320 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",High,ESD,Adeel Siddiqui  ,23-Feb-26,Done,
837,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 10 A Packing,"- 378 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",High,ESD,Adeel Siddiqui  ,24-Feb-26,Done,
838,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 10 B Packing,"- 482 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",High,ESD,Adeel Siddiqui  ,25-Feb-26,Done,
839,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 1 Mixing,"- 100 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Low,ESD,Adeel Siddiqui  ,26-Feb-26,Done,
840,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 2 Mixing,"- 156 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,27-Feb-26,Done,
841,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 3 Mixing,"- 183.9 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,28-Feb-26,Done,
842,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 4 Mixing,"- 161 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,01-Mar-26,Done,
843,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 5 Mixing,"- 141 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,02-Mar-26,Done,
844,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 6 Mixing,"- 140 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,03-Mar-26,Done,
845,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 7 Mixing,"- 150 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,04-Mar-26,Done,
846,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 9 Mixing,"- 104 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,05-Mar-26,Done,
847,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 1 Cutting,"- 237 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,06-Mar-26,Done,
848,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 2 Cutting,"- 271 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",High,ESD,Adeel Siddiqui  ,07-Mar-26,Done,
849,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 3 Cutting,"- 251 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",High,ESD,Adeel Siddiqui  ,08-Mar-26,Done,
850,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 4 Cutting,"- 229 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,09-Mar-26,Done,
851,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 5 Cutting,"- 51 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Low,ESD,Adeel Siddiqui  ,10-Mar-26,Done,
852,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 7 Cutting,"- 220 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,11-Mar-26,Done,
853,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 9 Cutting,"- 224 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,12-Mar-26,Done,
854,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Line 10 Cutting,"- 46 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Low,ESD,Adeel Siddiqui  ,13-Mar-26,Done,
855,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,B-100 wh,"- 229 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,14-Mar-26,Pending,
856,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Ammonia Shortening,"- 51 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,15-Mar-26,Pending,
857,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,PMS,"- 220 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,16-Mar-26,Pending,
858,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,PMS Inside,"- 224 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,17-Mar-26,Pending,
859,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,PMS lift,"- 46 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,18-Mar-26,Pending,
860,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Gate 1,"- 156 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,19-Mar-26,Done,
861,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Gate 2 ,"- 183.9 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,20-Mar-26,Pending,
862,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Gate 4,"- 161 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,21-Mar-26,Pending,
863,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,LPG Plant,"- 141 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Low,ESD,Adeel Siddiqui  ,22-Mar-26,Pending,
864,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Gate 4,"- 140 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Low,ESD,Adeel Siddiqui  ,23-Mar-26,Pending,
865,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Gate 5,"- 150 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Low,ESD,Adeel Siddiqui  ,24-Mar-26,Pending,
866,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Causeway Road,"- 104 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,25-Mar-26,Pending,
867,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Fire Pump Room,"- 237 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",Medium,ESD,Adeel Siddiqui  ,26-Mar-26,Pending,
868,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,Powerhouse,"- 398 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",High,ESD,Adeel Siddiqui  ,27-Mar-26,Pending,
869,30/06/2025,June,Safiullah,Critical / Specialist Audit Plan,Audit Lux Level Monitoring,RMS 1st Floor,"- 438 Lux, Install additional lighting fixtures or upgrade existing lights to meet required lux standards.",High,ESD,Adeel Siddiqui  ,28-Mar-26,Pending,
870,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 1 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
871,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 1 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
872,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 1 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
873,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 1 Oven,"Unions checked, leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
874,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 1 Oven,"Unions checked, leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
875,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 1 Oven,"Unions checked, leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
876,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 1 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
877,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 1 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
878,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 2 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
879,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 2 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
880,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 2 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
881,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 2 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
882,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 2 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
883,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 2 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
884,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 2 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
885,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 2 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
886,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 3 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
887,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 3 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
888,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 3 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
889,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 3 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
890,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 3 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
891,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 3 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
892,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 3 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
893,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 3 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
894,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 4 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
895,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 4 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
896,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 4 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
897,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 4 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
898,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 4 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
899,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 4 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
900,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 4 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
901,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 4 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
902,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 5 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
903,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 5 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
904,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 5 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
905,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 5 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
906,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 5 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
907,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 5 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
908,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 5 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
909,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 5 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
910,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 6 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
911,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 6 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
912,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 6 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
913,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 6 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
914,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 6 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
915,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 6 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
916,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 6 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
917,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 6 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
918,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 7 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
919,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 7 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
920,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 7 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
921,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 7 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
922,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 7 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
923,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 7 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
924,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 7 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
925,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 8 oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
926,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 8 oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
927,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 8 oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
928,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 8 oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
929,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 8 oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
930,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 8 oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
931,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 8 oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
932,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 9 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
933,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 9 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
934,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 9 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
935,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 9 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
936,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 9 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
937,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 9 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
938,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 9 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
939,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 9 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
940,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 10 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
941,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 10 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
942,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 10 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
943,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 10 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
944,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 10 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
945,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 10 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
946,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 10 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
947,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 10 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
948,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 10 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
949,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 11 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
950,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 11 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
951,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 11 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
952,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 11 Oven,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
953,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 11 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
954,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 11 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
955,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Line 11 Oven,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
956,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Geyser L-10,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
957,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Geyser L-11,"Ball Valve checked, No leakge found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
958,04/05/2026,April,Yaseen/Sarfaraz,Critical / Specialist Audit Plan,Gas Leak Monitoring,Geyser L-12,"Unions checked, No leakage found",High,ESD,Adeel Siddiqui  ,Immediate,Done,
